title_sv,title_en,short,starts_at,ends_at,dot,all_day,location_sv,location_en,drink,food,cash,description_sv,description_en
350-års firande,Lund University celebrates 350 years,,2017-09-15 14:00:00,2017-09-15 20:00:00,,false,Lundagård,Lundagård,false,false,false,"Temasittning, en sannerligen andlig fest!
Klädkod overall eller temaenligt.",Description missing
Temasittning,Theme sittning,,2017-09-16 15:00:00,2017-09-16 22:00:00,,false,Loftet,Loftet,false,false,false,"Temasittning, en sannerligen andlig fest!
Klädkod overall eller temaenligt.",Description missing
Pluggbrunch,Study brunch,,2017-09-17 12:00:00,2017-09-17 14:00:00,double,false,Kårhuset,Kårhuset,false,false,false,Pluggbrunch! Kåren bjuder in till plugg och brunch.,Description missing
Faddergruppshäng,Hang out with your mentorgroup,,2017-09-17 10:00:00,2017-09-17 22:00:00,,true,Hos din fadder,Hos din fadder,false,false,false,"Faddergruppshäng. Myspys med din
underbara faddergrupp. Kanske kan du passa
på att sy fast några märken på din overall?",Description missing
Idrottskväll,Sports night,,2017-09-18 18:00:00,2017-09-18 21:00:00,double,false,Victoriastadion,Victoriastadion,false,false,false,Idrottskväll,Description missing
Orangetisdag,Orange Tuesday,,2017-09-19 06:00:00,2017-09-19 22:00:00,,true,Överallt,Överallt,false,false,false,"Orangetisdag! En favorit i repris! Passa på
att visa upp dina snyggaste märken!",Description missing
Lunchföredrag TetraPak,"Tetra Pak, lunch lecture",,2017-09-19 12:00:00,2017-09-19 13:00:00,,false,MH:R,MH:R,false,true,false,"""Lunchföredrag med TetraPak. Kom och
lyssna på TetraPak när de pratar om sin
verksamhet och om vad de sysslar med, det
bjuds på lunch!""",Description missing
Pluggkväll,Study night,,2017-09-20 17:00:00,2017-09-20 20:00:00,,false,Fysicum,Fysicum,false,true,false,"Pluggkväll. Kom och plugga med dina
vänner och faddergrupp tillsammans med
studierådet. Studierådet bjuder hungriga
nollor på mat!",Description missing
Nollegasque,Nollegasque,,2017-09-21 17:00:00,2017-09-22 02:00:00,single,false,Gasquesalen,Gasquesalen,true,true,true,"Nollegasque! Nu är det äntligen dags att bli
etta genom att alla nollor får dricka in sin
teknologmössa. Se till att ha förbeställt en
mössa hos Föset. Detta är en tillställning du
inte vill missa!
Klädkod: Mörk kostym eller Högtidsdräkt.",Description missing
Sensation Red,Sensation Red,,2017-09-27 22:00:00,2017-09-28 02:00:00,,false,Gasquesalen,Gasquesalen,false,false,true,"Sensation Red. M-sektionen bjuder till fest
för att hylla sin sektionsfärg.
Klädkod: Rött",Description missing
Pluggbrunsch,Study brunch,,2017-09-24 12:00:00,2017-09-24 14:00:00,double,false,Kårhuset,Kårhuset,false,true,false,"Pluggbrunch! Kåren bjuder in till plugg och
brunch.",Description missing
Älgresan,Elk trip,,2017-09-30 10:00:00,2017-09-30 22:00:00,,true,"Skånes djurpark, MH","Skånes djurpark, MH",false,false,true,"Älgresan! Ett event som anordnas utav
Reiseleiteriet, där sektionens medlemmar
beger sig till Skånes Djurpark. På plats så
kommer vi traditionsenligt att hedra vårt
egna helgon, Hilbert älg, i san sektionsanda!
Efter besöket hos Hilbert tar vi oss tillbaks
till Mattehuset där vi avrundar kvällen
tillsammans med en sittning. Eventet är
sedan gammalt en tradition på sektionen som
vi hoppas att så många som möjligt deltar i!
Klädkod: Mörk kostym eller
Högtidsdräkt.",Description missing
STORSLAGEN,STORSLAGEN,,2017-09-30 22:00:00,2017-10-01 02:00:00,,false,Gasquesalen,Gasquesalen,true,false,true,"STORSLAGEN Den stora så kallade
S-festen som varje år avslutar Kårens
nollning med stor fest i hela kårhuset. Det
blir naaajs!",Description missing
